Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Discounts %,Sales,COGS,COGS %,Profit,Profit Margin %,Profit Category,Date,Month Number,Month Name,Year
Government,France, Paseo , High ,293,10,20,5860,879,15.00%,4981,2930,58.82%,2051,35.00%,Medium,12/1/2014,12, December ,2014
Government,France, VTT , High ,293,250,20,5860,879,15.00%,4981,2930,58.82%,2051,35.00%,Medium,12/1/2014,12, December ,2014
Government,France, Montana , High ,293,5,7,2051,287.14,14.00%,1763.86,1465,83.06%,298.86,14.57%,Low,2/1/2014,2, February ,2014
Channel Partners,France, Amarilla , Medium ,306,260,12,3672,330.48,9.00%,3341.52,918,27.47%,2423.52,66.00%,High,12/1/2013,12, December ,2013
Midmarket,France, Amarilla , Low ,321,260,15,4815,48.15,1.00%,4766.85,3210,67.34%,1556.85,32.33%,Medium,11/1/2013,11, November ,2013
Small Business,France, Montana , Medium ,322,5,300,96600,8694,9.00%,87906,80500,91.58%,7406,7.67%,Low,9/1/2013,9, September ,2013
Enterprise,United States of America, Carretera , Low ,330,3,125,41250,412.5,1.00%,40837.5,39600,96.97%,1237.5,3.00%,Low,9/1/2013,9, September ,2013
Small Business,Germany, Montana , Medium ,334,5,300,100200,9018,9.00%,91182,83500,91.58%,7682,7.67%,Low,12/1/2013,12, December ,2013
Enterprise,Mexico, VTT , High ,341,250,125,42625,4262.5,10.00%,38362.5,40920,106.67%,-2557.5,-6.00%,Low,5/1/2014,5, May ,2014
Government,Mexico, Velo , High ,344,120,350,120400,13244,11.00%,107156,89440,83.47%,17716,14.71%,Low,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , High ,344,260,350,120400,13244,11.00%,107156,89440,83.47%,17716,14.71%,Low,10/1/2013,10, October ,2013
Enterprise,Canada, Montana ,,345,5,125,43125,0,0.00%,43125,41400,96.00%,1725,4.00%,Low,10/1/2013,10, October ,2013
Enterprise,Canada, Velo ,,345,120,125,43125,0,0.00%,43125,41400,96.00%,1725,4.00%,Low,10/1/2013,10, October ,2013
Government,United States of America, VTT , Low ,349,250,350,122150,4886,4.00%,117264,90740,77.38%,26524,21.71%,Medium,9/1/2013,9, September ,2013
Government,Germany, Paseo , High ,357,10,350,124950,16243.5,13.00%,108706.5,92820,85.39%,15886.5,12.71%,Low,11/1/2014,11, November ,2014
Government,Germany, Paseo , Medium ,360,10,7,2520,226.8,9.00%,2293.2,1800,78.49%,493.2,19.57%,Medium,10/1/2014,10, October ,2014
Government,Germany, VTT , Medium ,360,250,7,2520,226.8,9.00%,2293.2,1800,78.49%,493.2,19.57%,Medium,10/1/2014,10, October ,2014
Government,Mexico, Velo , Low ,362,120,7,2534,25.34,1.00%,2508.66,1810,72.15%,698.66,27.57%,Medium,5/1/2014,5, May ,2014
Channel Partners,Germany, Paseo ,,367,10,12,4404,0,0.00%,4404,1101,25.00%,3303,75.00%,High,7/1/2014,7, July ,2014
Channel Partners,Mexico, Carretera , Medium ,367,3,12,4404,396.36,9.00%,4007.64,1101,27.47%,2906.64,66.00%,High,10/1/2013,10, October ,2013
Channel Partners,Mexico, Paseo , Medium ,367,10,12,4404,396.36,9.00%,4007.64,1101,27.47%,2906.64,66.00%,High,10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , High ,380,10,15,5700,684,12.00%,5016,3800,75.76%,1216,21.33%,Medium,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,380,10,7,2660,292.6,11.00%,2367.4,1900,80.26%,467.4,17.57%,Medium,9/1/2013,9, September ,2013
Government,France, VTT , Medium ,381,250,350,133350,10668,8.00%,122682,99060,80.75%,23622,17.71%,Medium,8/1/2014,8, August ,2014
Midmarket,Canada, Velo , High ,384,120,15,5760,633.6,11.00%,5126.4,3840,74.91%,1286.4,22.33%,Medium,1/1/2014,1, January ,2014
Small Business,France, Velo , Medium ,386,120,300,115800,9264,8.00%,106536,96500,90.58%,10036,8.67%,Low,11/1/2013,11, November ,2013
Channel Partners,United States of America, Carretera , High ,386,3,12,4632,463.2,10.00%,4168.8,1158,27.78%,3010.8,65.00%,High,10/1/2013,10, October ,2013
Channel Partners,United States of America, Paseo , High ,386,10,12,4632,463.2,10.00%,4168.8,1158,27.78%,3010.8,65.00%,High,10/1/2013,10, October ,2013
Government,Canada, Montana , High ,388,5,7,2716,380.24,14.00%,2335.76,1940,83.06%,395.76,14.57%,Low,9/1/2014,9, September ,2014
Channel Partners,Mexico, Velo , High ,410,120,12,4920,639.6,13.00%,4280.4,1230,28.74%,3050.4,62.00%,High,10/1/2014,10, October ,2014
Channel Partners,Mexico, Amarilla , High ,410,260,12,4920,639.6,13.00%,4280.4,1230,28.74%,3050.4,62.00%,High,10/1/2014,10, October ,2014
Government,Germany, VTT , Medium ,422,250,350,147700,11816,8.00%,135884,109720,80.75%,26164,17.71%,Medium,8/1/2014,8, August ,2014
Small Business,Mexico, VTT , High ,432,250,300,129600,12960,10.00%,116640,108000,92.59%,8640,6.67%,Low,9/1/2014,9, September ,2014
Government,United States of America, VTT , Medium ,436.5,250,20,8730,698.4,8.00%,8031.6,4365,54.35%,3666.6,42.00%,High,7/1/2014,7, July ,2014
Government,Germany, Carretera , High ,442,3,20,8840,1149.2,13.00%,7690.8,4420,57.47%,3270.8,37.00%,Medium,9/1/2013,9, September ,2013
Small Business,France, Carretera , Medium ,448,3,300,134400,9408,7.00%,124992,112000,89.61%,12992,9.67%,Low,6/1/2014,6, June ,2014
Small Business,France, Paseo , Medium ,448,10,300,134400,9408,7.00%,124992,112000,89.61%,12992,9.67%,Low,6/1/2014,6, June ,2014
Channel Partners,Germany, Velo , High ,472,120,12,5664,623.04,11.00%,5040.96,1416,28.09%,3624.96,64.00%,High,10/1/2014,10, October ,2014
Channel Partners,Germany, Amarilla , High ,472,260,12,5664,623.04,11.00%,5040.96,1416,28.09%,3624.96,64.00%,High,10/1/2014,10, October ,2014
Government,Canada, Montana , Medium ,488,5,7,3416,273.28,8.00%,3142.72,2440,77.64%,702.72,20.57%,Medium,2/1/2014,2, February ,2014
Midmarket,France, Carretera , Medium ,490,3,15,7350,588,8.00%,6762,4900,72.46%,1862,25.33%,Medium,11/1/2014,11, November ,2014
Midmarket,Germany, VTT , High ,492,250,15,7380,1107,15.00%,6273,4920,78.43%,1353,18.33%,Medium,7/1/2014,7, July ,2014
Small Business,Mexico, Carretera , Low ,494,3,300,148200,1482,1.00%,146718,123500,84.18%,23218,15.67%,Medium,10/1/2013,10, October ,2013
Small Business,Mexico, VTT , Low ,494,250,300,148200,1482,1.00%,146718,123500,84.18%,23218,15.67%,Medium,10/1/2013,10, October ,2013
Channel Partners,Mexico, Velo , High ,500,120,12,6000,900,15.00%,5100,1500,29.41%,3600,60.00%,High,3/1/2014,3, March ,2014
Midmarket,Germany, Velo , High ,510,120,15,7650,765,10.00%,6885,5100,74.07%,1785,23.33%,Medium,4/1/2014,4, April ,2014
Government,Mexico, Carretera , Medium ,521,3,7,3647,328.23,9.00%,3318.77,2605,78.49%,713.77,19.57%,Medium,12/1/2014,12, December ,2014
Government,Mexico, VTT , Medium ,521,250,7,3647,328.23,9.00%,3318.77,2605,78.49%,713.77,19.57%,Medium,12/1/2014,12, December ,2014
Government,Mexico, Velo , Low ,544,120,20,10880,217.6,2.00%,10662.4,5440,51.02%,5222.4,48.00%,High,12/1/2013,12, December ,2013
Government,France, Montana , Low ,544,5,7,3808,114.24,3.00%,3693.76,2720,73.64%,973.76,25.57%,Medium,9/1/2014,9, September ,2014
Small Business,Mexico, Montana , High ,546,5,300,163800,24570,15.00%,139230,136500,98.04%,2730,1.67%,Low,10/1/2014,10, October ,2014
Small Business,Mexico, Amarilla , High ,546,260,300,163800,24570,15.00%,139230,136500,98.04%,2730,1.67%,Low,10/1/2014,10, October ,2014
Government,United States of America, Velo , Medium ,547,120,7,3829,268.03,7.00%,3560.97,2735,76.80%,825.97,21.57%,Medium,11/1/2014,11, November ,2014
Midmarket,France, Paseo ,,549,10,15,8235,0,0.00%,8235,5490,66.67%,2745,33.33%,Medium,9/1/2013,9, September ,2013
Government,Canada, Amarilla , Medium ,552,260,350,193200,9660,5.00%,183540,143520,78.20%,40020,20.71%,Medium,8/1/2014,8, August ,2014
Enterprise,Germany, VTT , High ,552,250,125,69000,10350,15.00%,58650,66240,112.94%,-7590,-11.00%,Low,11/1/2014,11, November ,2014
Enterprise,Mexico, VTT , High ,554,250,125,69250,7617.5,11.00%,61632.5,66480,107.87%,-4847.5,-7.00%,Low,1/1/2014,1, January ,2014
Midmarket,United States of America, Velo , Medium ,555,120,15,8325,416.25,5.00%,7908.75,5550,70.18%,2358.75,28.33%,Medium,1/1/2014,1, January ,2014
Channel Partners,Mexico, Carretera , Medium ,562,3,12,6744,404.64,6.00%,6339.36,1686,26.60%,4653.36,69.00%,High,9/1/2014,9, September ,2014
Enterprise,Canada, Velo , Medium ,567,120,125,70875,6378.75,9.00%,64496.25,68040,105.49%,-3543.75,-5.00%,Low,9/1/2014,9, September ,2014
Government,United States of America, Carretera , Medium ,570,3,7,3990,199.5,5.00%,3790.5,2850,75.19%,940.5,23.57%,Medium,12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium ,570,250,7,3990,199.5,5.00%,3790.5,2850,75.19%,940.5,23.57%,Medium,12/1/2014,12, December ,2014
Channel Partners,Mexico, Paseo , High ,571,10,12,6852,890.76,13.00%,5961.24,1713,28.74%,4248.24,62.00%,High,7/1/2014,7, July ,2014
Government,France, VTT , Medium ,574.5,250,350,201075,16086,8.00%,184989,149370,80.75%,35619,17.71%,Medium,4/1/2014,4, April ,2014
Enterprise,United States of America, Amarilla , High ,579,260,125,72375,7237.5,10.00%,65137.5,69480,106.67%,-4342.5,-6.00%,Low,1/1/2014,1, January ,2014
Government,Germany, Velo , Medium ,588,120,20,11760,823.2,7.00%,10936.8,5880,53.76%,5056.8,43.00%,High,12/1/2013,12, December ,2013
Small Business,Mexico, Paseo , High ,591,10,300,177300,17730,10.00%,159570,147750,92.59%,11820,6.67%,Low,5/1/2014,5, May ,2014
Channel Partners,Canada, Velo , Medium ,598,120,12,7176,574.08,8.00%,6601.92,1794,27.17%,4807.92,67.00%,High,3/1/2014,3, March ,2014
Government,United States of America, Paseo , Medium ,602,10,350,210700,10535,5.00%,200165,156520,78.20%,43645,20.71%,Medium,6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ,602,120,350,210700,10535,5.00%,200165,156520,78.20%,43645,20.71%,Medium,6/1/2014,6, June ,2014
Channel Partners,Mexico, Montana , High ,604,5,12,7248,942.24,13.00%,6305.76,1812,28.74%,4493.76,62.00%,High,6/1/2014,6, June ,2014
Channel Partners,Mexico, Velo , High ,604,120,12,7248,942.24,13.00%,6305.76,1812,28.74%,4493.76,62.00%,High,6/1/2014,6, June ,2014
Government,United States of America, Velo , High ,606,120,20,12120,1696.8,14.00%,10423.2,6060,58.14%,4363.2,36.00%,Medium,4/1/2014,4, April ,2014
Government,Mexico, Velo , Medium ,609,120,20,12180,852.6,7.00%,11327.4,6090,53.76%,5237.4,43.00%,High,8/1/2014,8, August ,2014
Midmarket,United States of America, Montana ,,615,5,15,9225,0,0.00%,9225,6150,66.67%,3075,33.33%,Medium,12/1/2014,12, December ,2014
Midmarket,United States of America, Amarilla ,,615,260,15,9225,0,0.00%,9225,6150,66.67%,3075,33.33%,Medium,12/1/2014,12, December ,2014
Government,Canada, VTT , High ,623,250,350,218050,26166,12.00%,191884,161980,84.42%,29904,13.71%,Low,9/1/2013,9, September ,2013
Small Business,Mexico, Velo , Medium ,635,120,300,190500,15240,8.00%,175260,158750,90.58%,16510,8.67%,Low,12/1/2014,12, December ,2014
Small Business,Mexico, Amarilla , Medium ,635,260,300,190500,15240,8.00%,175260,158750,90.58%,16510,8.67%,Low,12/1/2014,12, December ,2014
Government,France, Velo , High ,639,120,350,223650,22365,10.00%,201285,166140,82.54%,35145,15.71%,Medium,7/1/2014,7, July ,2014
Government,France, Velo , Low ,639,120,7,4473,44.73,1.00%,4428.27,3195,72.15%,1233.27,27.57%,Medium,11/1/2014,11, November ,2014
Midmarket,Mexico, VTT , High ,641,250,15,9615,961.5,10.00%,8653.5,6410,74.07%,2243.5,23.33%,Medium,7/1/2014,7, July ,2014
Government,Germany, Montana , Medium ,645,5,20,12900,1032,8.00%,11868,6450,54.35%,5418,42.00%,High,7/1/2014,7, July ,2014
Midmarket,Mexico, Velo , High ,655,120,15,9825,1080.75,11.00%,8744.25,6550,74.91%,2194.25,22.33%,Medium,9/1/2013,9, September ,2013
Midmarket,Germany, Velo , High ,660,120,15,9900,1287,13.00%,8613,6600,76.63%,2013,20.33%,Medium,9/1/2013,9, September ,2013
Enterprise,Mexico, Paseo , Low ,662,10,125,82750,1655,2.00%,81095,79440,97.96%,1655,2.00%,Low,6/1/2014,6, June ,2014
Enterprise,Mexico, VTT , Low ,662,250,125,82750,1655,2.00%,81095,79440,97.96%,1655,2.00%,Low,6/1/2014,6, June ,2014
Government,Germany, Carretera , Medium ,663,3,20,13260,1193.4,9.00%,12066.6,6630,54.95%,5436.6,41.00%,High,5/1/2014,5, May ,2014
Enterprise,United States of America, Montana , Low ,663,5,125,82875,828.75,1.00%,82046.25,79560,96.97%,2486.25,3.00%,Low,10/1/2013,10, October ,2013
Enterprise,United States of America, Velo , Low ,663,120,125,82875,828.75,1.00%,82046.25,79560,96.97%,2486.25,3.00%,Low,10/1/2013,10, October ,2013
Enterprise,France, Velo , High ,663,120,125,82875,12431.25,15.00%,70443.75,79560,112.94%,-9116.25,-11.00%,Low,9/1/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,671,10,15,10065,402.6,4.00%,9662.4,6710,69.44%,2952.4,29.33%,Medium,10/1/2013,10, October ,2013
Midmarket,United States of America, Amarilla , Low ,671,260,15,10065,402.6,4.00%,9662.4,6710,69.44%,2952.4,29.33%,Medium,10/1/2013,10, October ,2013
Midmarket,United States of America, Montana , High ,677,5,15,10155,1218.6,12.00%,8936.4,6770,75.76%,2166.4,21.33%,Medium,3/1/2014,3, March ,2014
Government,United States of America, Paseo , Medium ,678,10,7,4746,379.68,8.00%,4366.32,3390,77.64%,976.32,20.57%,Medium,8/1/2014,8, August ,2014
Midmarket,Germany, Velo , High ,681,120,15,10215,1021.5,10.00%,9193.5,6810,74.07%,2383.5,23.33%,Medium,1/1/2014,1, January ,2014
Small Business,Germany, Carretera , Low ,689,3,300,206700,6201,3.00%,200499,172250,85.91%,28249,13.67%,Low,6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689,10,300,206700,6201,3.00%,200499,172250,85.91%,28249,13.67%,Low,6/1/2014,6, June ,2014
Channel Partners,Mexico, Montana , Low ,690,5,12,8280,165.6,2.00%,8114.4,2070,25.51%,6044.4,73.00%,High,11/1/2014,11, November ,2014
Government,Canada, Paseo , High ,700,10,350,245000,34300,14.00%,210700,182000,86.38%,28700,11.71%,Low,11/1/2014,11, November ,2014
Enterprise,France, Paseo , Medium ,704,10,125,88000,4400,5.00%,83600,84480,101.05%,-880,-1.00%,Low,10/1/2013,10, October ,2013
Enterprise,France, Velo , Medium ,704,120,125,88000,4400,5.00%,83600,84480,101.05%,-880,-1.00%,Low,10/1/2013,10, October ,2013
Government,Canada, Amarilla , High ,707,260,350,247450,24745,10.00%,222705,183820,82.54%,38885,15.71%,Medium,9/1/2014,9, September ,2014
Government,Canada, Montana , Medium ,708,5,20,14160,1132.8,8.00%,13027.2,7080,54.35%,5947.2,42.00%,High,6/1/2014,6, June ,2014
Government,Canada, Amarilla , Medium ,708,260,20,14160,1132.8,8.00%,13027.2,7080,54.35%,5947.2,42.00%,High,6/1/2014,6, June ,2014
Midmarket,Germany, Montana , Medium ,711,5,15,10665,853.2,8.00%,9811.8,7110,72.46%,2701.8,25.33%,Medium,12/1/2014,12, December ,2014
Midmarket,Germany, Amarilla , Medium ,711,260,15,10665,853.2,8.00%,9811.8,7110,72.46%,2701.8,25.33%,Medium,12/1/2014,12, December ,2014
Government,Mexico, Montana , Medium ,720,5,350,252000,12600,5.00%,239400,187200,78.20%,52200,20.71%,Medium,9/1/2013,9, September ,2013
Government,Canada, Paseo , High ,723,10,7,5061,759.15,15.00%,4301.85,3615,84.03%,686.85,13.57%,Low,4/1/2014,4, April ,2014
Government,United States of America, Paseo , Medium ,727,10,350,254450,15267,6.00%,239183,189020,79.03%,50163,19.71%,Medium,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , Medium ,727,260,350,254450,15267,6.00%,239183,189020,79.03%,50163,19.71%,Medium,10/1/2013,10, October ,2013
Channel Partners,Mexico, Carretera , Medium ,727,3,12,8724,610.68,7.00%,8113.32,2181,26.88%,5932.32,68.00%,High,2/1/2014,2, February ,2014
Enterprise,United States of America, Paseo , Low ,727,10,125,90875,908.75,1.00%,89966.25,87240,96.97%,2726.25,3.00%,Low,6/1/2014,6, June ,2014
Enterprise,United States of America, VTT , Low ,727,250,125,90875,908.75,1.00%,89966.25,87240,96.97%,2726.25,3.00%,Low,6/1/2014,6, June ,2014
Government,United States of America, Velo , Low ,736,120,20,14720,588.8,4.00%,14131.2,7360,52.08%,6771.2,46.00%,High,9/1/2013,9, September ,2013
Enterprise,Canada, Carretera , Low ,742.5,3,125,92812.5,1856.25,2.00%,90956.25,89100,97.96%,1856.25,2.00%,Low,4/1/2014,4, April ,2014
Midmarket,Germany, Paseo , Low ,747,10,15,11205,112.05,1.00%,11092.95,7470,67.34%,3622.95,32.33%,Medium,9/1/2014,9, September ,2014
Government,Germany, Montana , High ,766,5,350,268100,29491,11.00%,238609,199160,83.47%,39449,14.71%,Low,1/1/2014,1, January ,2014
Channel Partners,Germany, Carretera , Low ,766,3,12,9192,91.92,1.00%,9100.08,2298,25.25%,6802.08,74.00%,High,10/1/2013,10, October ,2013
Channel Partners,Germany, Paseo , Low ,766,10,12,9192,91.92,1.00%,9100.08,2298,25.25%,6802.08,74.00%,High,10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ,787,10,125,98375,983.75,1.00%,97391.25,94440,96.97%,2951.25,3.00%,Low,6/1/2014,6, June ,2014
Enterprise,France, VTT , Low ,787,250,125,98375,983.75,1.00%,97391.25,94440,96.97%,2951.25,3.00%,Low,6/1/2014,6, June ,2014
Small Business,Mexico, Paseo ,,788,10,300,236400,0,0.00%,236400,197000,83.33%,39400,16.67%,Medium,9/1/2013,9, September ,2013
Midmarket,United States of America, Velo , High ,790,120,15,11850,1185,10.00%,10665,7900,74.07%,2765,23.33%,Medium,5/1/2014,5, May ,2014
Government,Germany, Carretera , High ,792,3,350,277200,30492,11.00%,246708,205920,83.47%,40788,14.71%,Low,3/1/2014,3, March ,2014
Enterprise,Germany, Paseo , Low ,795,10,125,99375,3975,4.00%,95400,95400,100.00%,0,0.00%,Low,3/1/2014,3, March ,2014
Small Business,Mexico, Carretera , High ,801,3,300,240300,33642,14.00%,206658,200250,96.90%,6408,2.67%,Low,7/1/2014,7, July ,2014
Small Business,Germany, Paseo , High ,807,10,300,242100,31473,13.00%,210627,201750,95.79%,8877,3.67%,Low,1/1/2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,807,120,125,100875,5043.75,5.00%,95831.25,96840,101.05%,-1008.75,-1.00%,Low,2/1/2014,2, February ,2014
Small Business,United States of America, VTT , Medium ,808,250,300,242400,19392,8.00%,223008,202000,90.58%,21008,8.67%,Low,12/1/2013,12, December ,2013
Enterprise,Germany, Paseo , Low ,809,10,125,101125,2022.5,2.00%,99102.5,97080,97.96%,2022.5,2.00%,Low,10/1/2013,10, October ,2013
Enterprise,Germany, Velo , Low ,809,120,125,101125,2022.5,2.00%,99102.5,97080,97.96%,2022.5,2.00%,Low,10/1/2013,10, October ,2013
Government,Canada, Carretera , Medium ,819,3,7,5733,515.97,9.00%,5217.03,4095,78.49%,1122.03,19.57%,Medium,7/1/2014,7, July ,2014
Government,Canada, Carretera , Low ,831,3,20,16620,498.6,3.00%,16121.4,8310,51.55%,7811.4,47.00%,High,5/1/2014,5, May ,2014
Small Business,France, Velo , High ,853,120,300,255900,25590,10.00%,230310,213250,92.59%,17060,6.67%,Low,12/1/2014,12, December ,2014
Small Business,France, Amarilla , High ,853,260,300,255900,25590,10.00%,230310,213250,92.59%,17060,6.67%,Low,12/1/2014,12, December ,2014
Enterprise,United States of America, Paseo , Medium ,861,10,125,107625,5381.25,5.00%,102243.75,103320,101.05%,-1076.25,-1.00%,Low,10/1/2014,10, October ,2014
Enterprise,United States of America, Velo , Medium ,861,120,125,107625,5381.25,5.00%,102243.75,103320,101.05%,-1076.25,-1.00%,Low,10/1/2014,10, October ,2014
Government,Canada, VTT , High ,865.5,250,20,17310,2596.5,15.00%,14713.5,8655,58.82%,6058.5,35.00%,Medium,7/1/2014,7, July ,2014
Channel Partners,France, VTT , Low ,866,250,12,10392,415.68,4.00%,9976.32,2598,26.04%,7378.32,71.00%,High,5/1/2014,5, May ,2014
Small Business,Canada, Paseo , High ,873,10,300,261900,28809,11.00%,233091,218250,93.63%,14841,5.67%,Low,1/1/2014,1, January ,2014
Enterprise,Mexico, VTT , Medium ,877,250,125,109625,9866.25,9.00%,99758.75,105240,105.49%,-5481.25,-5.00%,Low,11/1/2014,11, November ,2014
Channel Partners,Germany, VTT , Medium ,880,250,12,10560,950.4,9.00%,9609.6,2640,27.47%,6969.6,66.00%,High,5/1/2014,5, May ,2014
Government,Mexico, Paseo ,,883,10,7,6181,0,0.00%,6181,4415,71.43%,1766,28.57%,Medium,8/1/2014,8, August ,2014
Government,Mexico, Carretera , High ,886,3,350,310100,37212,12.00%,272888,230360,84.42%,42528,13.71%,Low,6/1/2014,6, June ,2014
Government,Mexico, Paseo , High ,886,10,350,310100,37212,12.00%,272888,230360,84.42%,42528,13.71%,Low,6/1/2014,6, June ,2014
Enterprise,Germany, Carretera , Medium ,887,3,125,110875,6652.5,6.00%,104222.5,106440,102.13%,-2217.5,-2.00%,Low,12/1/2013,12, December ,2013
Small Business,Canada, Amarilla , High ,888,260,300,266400,37296,14.00%,229104,222000,96.90%,7104,2.67%,Low,3/1/2014,3, March ,2014
Midmarket,Germany, Carretera ,,888,3,15,13320,0,0.00%,13320,8880,66.67%,4440,33.33%,Medium,6/1/2014,6, June ,2014
Midmarket,Germany, VTT ,,888,250,15,13320,0,0.00%,13320,8880,66.67%,4440,33.33%,Medium,6/1/2014,6, June ,2014
Government,Mexico, Paseo , High ,905,10,20,18100,2172,12.00%,15928,9050,56.82%,6878,38.00%,Medium,10/1/2014,10, October ,2014
Government,Mexico, Velo , High ,905,120,20,18100,2172,12.00%,15928,9050,56.82%,6878,38.00%,Medium,10/1/2014,10, October ,2014
Channel Partners,Canada, Carretera , Low ,908,3,12,10896,326.88,3.00%,10569.12,2724,25.77%,7845.12,72.00%,High,12/1/2013,12, December ,2013
Channel Partners,United States of America, Paseo ,,912,10,12,10944,0,0.00%,10944,2736,25.00%,8208,75.00%,High,11/1/2013,11, November ,2013
Channel Partners,United States of America, Paseo , High ,914,10,12,10968,1645.2,15.00%,9322.8,2742,29.41%,6580.8,60.00%,High,12/1/2014,12, December ,2014
Channel Partners,United States of America, Velo , High ,914,120,12,10968,1645.2,15.00%,9322.8,2742,29.41%,6580.8,60.00%,High,12/1/2014,12, December ,2014
Small Business,France, Paseo , Low ,918,10,300,275400,5508,2.00%,269892,229500,85.03%,40392,14.67%,Low,5/1/2014,5, May ,2014
Midmarket,Germany, Montana ,,921,5,15,13815,0,0.00%,13815,9210,66.67%,4605,33.33%,Medium,3/1/2014,3, March ,2014
Government,Canada, Carretera , High ,923,3,350,323050,41996.5,13.00%,281053.5,239980,85.39%,41073.5,12.71%,Low,3/1/2014,3, March ,2014
Enterprise,Canada, Velo , Low ,923,120,125,115375,1153.75,1.00%,114221.25,110760,96.97%,3461.25,3.00%,Low,8/1/2014,8, August ,2014
Government,France, Amarilla , Low ,941,260,20,18820,376.4,2.00%,18443.6,9410,51.02%,9033.6,48.00%,High,11/1/2014,11, November ,2014
