Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Discounts %,Sales,COGS,COGS %,Profit,Profit Margin %,Profit Category,Date,Month Number,Month Name,Year
Government,France, Montana , High ,293.0,5.0,7.0,2051.0,287.14,0.14,1763.86,1465.0,0.8306,298.86,0.1457,Low,2014-02-01,2.0, February ,2014.0
Channel Partners,France, Amarilla , Medium ,306.0,260.0,12.0,3672.0,330.48,0.09,3341.52,918.0,0.2747,2423.52,0.66,High,2013-12-01,12.0, December ,2013.0
Midmarket,France, Amarilla , Low ,321.0,260.0,15.0,4815.0,48.15,0.01,4766.85,3210.0,0.6734,1556.85,0.3233,Medium,2013-11-01,11.0, November ,2013.0
Small Business,France, Montana , Medium ,322.0,5.0,300.0,96600.0,8694.0,0.09,87906.0,80500.0,0.9158,7406.0,0.0767,Low,2013-09-01,9.0, September ,2013.0
Enterprise,United States of America, Carretera , Low ,330.0,3.0,125.0,41250.0,412.5,0.01,40837.5,39600.0,0.9697,1237.5,0.03,Low,2013-09-01,9.0, September ,2013.0
Small Business,Germany, Montana , Medium ,334.0,5.0,300.0,100200.0,9018.0,0.09,91182.0,83500.0,0.9158,7682.0,0.0767,Low,2013-12-01,12.0, December ,2013.0
Enterprise,Mexico, VTT , High ,341.0,250.0,125.0,42625.0,4262.5,0.1,38362.5,40920.0,1.0667,-2557.5,-0.06,Low,2014-05-01,5.0, May ,2014.0
Government,Mexico, Velo , High ,344.0,120.0,350.0,120400.0,13244.0,0.11,107156.0,89440.0,0.8347,17716.0,0.1471,Low,2013-10-01,10.0, October ,2013.0
Government,Mexico, Amarilla , High ,344.0,260.0,350.0,120400.0,13244.0,0.11,107156.0,89440.0,0.8347,17716.0,0.1471,Low,2013-10-01,10.0, October ,2013.0
Enterprise,Canada, Montana ,None,345.0,5.0,125.0,43125.0,0.0,0.0,43125.0,41400.0,0.96,1725.0,0.04,Low,2013-10-01,10.0, October ,2013.0
Enterprise,Canada, Velo ,None,345.0,120.0,125.0,43125.0,0.0,0.0,43125.0,41400.0,0.96,1725.0,0.04,Low,2013-10-01,10.0, October ,2013.0
Government,United States of America, VTT , Low ,349.0,250.0,350.0,122150.0,4886.0,0.04,117264.0,90740.0,0.7737999999999999,26524.0,0.21710000000000002,Medium,2013-09-01,9.0, September ,2013.0
Government,Germany, Paseo , High ,357.0,10.0,350.0,124950.0,16243.5,0.13,108706.5,92820.0,0.8539,15886.5,0.12710000000000002,Low,2014-11-01,11.0, November ,2014.0
Government,Germany, Paseo , Medium ,360.0,10.0,7.0,2520.0,226.8,0.09,2293.2,1800.0,0.7848999999999999,493.2,0.1957,Medium,2014-10-01,10.0, October ,2014.0
Government,Germany, VTT , Medium ,360.0,250.0,7.0,2520.0,226.8,0.09,2293.2,1800.0,0.7848999999999999,493.2,0.1957,Medium,2014-10-01,10.0, October ,2014.0
Government,Mexico, Velo , Low ,362.0,120.0,7.0,2534.0,25.34,0.01,2508.66,1810.0,0.7215,698.66,0.2757,Medium,2014-05-01,5.0, May ,2014.0
Channel Partners,Germany, Paseo ,None,367.0,10.0,12.0,4404.0,0.0,0.0,4404.0,1101.0,0.25,3303.0,0.75,High,2014-07-01,7.0, July ,2014.0
Channel Partners,Mexico, Carretera , Medium ,367.0,3.0,12.0,4404.0,396.36,0.09,4007.64,1101.0,0.2747,2906.64,0.66,High,2013-10-01,10.0, October ,2013.0
Channel Partners,Mexico, Paseo , Medium ,367.0,10.0,12.0,4404.0,396.36,0.09,4007.64,1101.0,0.2747,2906.64,0.66,High,2013-10-01,10.0, October ,2013.0
Midmarket,Mexico, Paseo , High ,380.0,10.0,15.0,5700.0,684.0,0.12,5016.0,3800.0,0.7576,1216.0,0.2133,Medium,2013-12-01,12.0, December ,2013.0
Government,United States of America, Paseo , High ,380.0,10.0,7.0,2660.0,292.6,0.11,2367.4,1900.0,0.8026000000000001,467.4,0.1757,Medium,2013-09-01,9.0, September ,2013.0
Government,France, VTT , Medium ,381.0,250.0,350.0,133350.0,10668.0,0.08,122682.0,99060.0,0.8075,23622.0,0.1771,Medium,2014-08-01,8.0, August ,2014.0
Midmarket,Canada, Velo , High ,384.0,120.0,15.0,5760.0,633.6,0.11,5126.4,3840.0,0.7491,1286.4,0.22329999999999997,Medium,2014-01-01,1.0, January ,2014.0
Small Business,France, Velo , Medium ,386.0,120.0,300.0,115800.0,9264.0,0.08,106536.0,96500.0,0.9057999999999999,10036.0,0.0867,Low,2013-11-01,11.0, November ,2013.0
Channel Partners,United States of America, Carretera , High ,386.0,3.0,12.0,4632.0,463.2,0.1,4168.8,1158.0,0.2778,3010.8,0.65,High,2013-10-01,10.0, October ,2013.0
Channel Partners,United States of America, Paseo , High ,386.0,10.0,12.0,4632.0,463.2,0.1,4168.8,1158.0,0.2778,3010.8,0.65,High,2013-10-01,10.0, October ,2013.0
Government,Canada, Montana , High ,388.0,5.0,7.0,2716.0,380.24,0.14,2335.76,1940.0,0.8306,395.76,0.1457,Low,2014-09-01,9.0, September ,2014.0
Channel Partners,Mexico, Velo , High ,410.0,120.0,12.0,4920.0,639.6,0.13,4280.4,1230.0,0.2874,3050.4,0.62,High,2014-10-01,10.0, October ,2014.0
Channel Partners,Mexico, Amarilla , High ,410.0,260.0,12.0,4920.0,639.6,0.13,4280.4,1230.0,0.2874,3050.4,0.62,High,2014-10-01,10.0, October ,2014.0
Government,Germany, VTT , Medium ,422.0,250.0,350.0,147700.0,11816.0,0.08,135884.0,109720.0,0.8075,26164.0,0.1771,Medium,2014-08-01,8.0, August ,2014.0
Small Business,Mexico, VTT , High ,432.0,250.0,300.0,129600.0,12960.0,0.1,116640.0,108000.0,0.9259000000000001,8640.0,0.0667,Low,2014-09-01,9.0, September ,2014.0
Government,United States of America, VTT , Medium ,436.5,250.0,20.0,8730.0,698.4,0.08,8031.6,4365.0,0.5435,3666.6,0.42,High,2014-07-01,7.0, July ,2014.0
Government,Germany, Carretera , High ,442.0,3.0,20.0,8840.0,1149.2,0.13,7690.8,4420.0,0.5747,3270.8,0.37,Medium,2013-09-01,9.0, September ,2013.0
Small Business,France, Carretera , Medium ,448.0,3.0,300.0,134400.0,9408.0,0.07,124992.0,112000.0,0.8961,12992.0,0.0967,Low,2014-06-01,6.0, June ,2014.0
Small Business,France, Paseo , Medium ,448.0,10.0,300.0,134400.0,9408.0,0.07,124992.0,112000.0,0.8961,12992.0,0.0967,Low,2014-06-01,6.0, June ,2014.0
Channel Partners,Germany, Velo , High ,472.0,120.0,12.0,5664.0,623.04,0.11,5040.96,1416.0,0.2809,3624.96,0.64,High,2014-10-01,10.0, October ,2014.0
Channel Partners,Germany, Amarilla , High ,472.0,260.0,12.0,5664.0,623.04,0.11,5040.96,1416.0,0.2809,3624.96,0.64,High,2014-10-01,10.0, October ,2014.0
Government,Canada, Montana , Medium ,488.0,5.0,7.0,3416.0,273.28,0.08,3142.72,2440.0,0.7764,702.72,0.2057,Medium,2014-02-01,2.0, February ,2014.0
Midmarket,France, Carretera , Medium ,490.0,3.0,15.0,7350.0,588.0,0.08,6762.0,4900.0,0.7245999999999999,1862.0,0.25329999999999997,Medium,2014-11-01,11.0, November ,2014.0
Midmarket,Germany, VTT , High ,492.0,250.0,15.0,7380.0,1107.0,0.15,6273.0,4920.0,0.7843000000000001,1353.0,0.1833,Medium,2014-07-01,7.0, July ,2014.0
Small Business,Mexico, Carretera , Low ,494.0,3.0,300.0,148200.0,1482.0,0.01,146718.0,123500.0,0.8418000000000001,23218.0,0.1567,Medium,2013-10-01,10.0, October ,2013.0
Small Business,Mexico, VTT , Low ,494.0,250.0,300.0,148200.0,1482.0,0.01,146718.0,123500.0,0.8418000000000001,23218.0,0.1567,Medium,2013-10-01,10.0, October ,2013.0
Channel Partners,Mexico, Velo , High ,500.0,120.0,12.0,6000.0,900.0,0.15,5100.0,1500.0,0.29410000000000003,3600.0,0.6,High,2014-03-01,3.0, March ,2014.0
Midmarket,Germany, Velo , High ,510.0,120.0,15.0,7650.0,765.0,0.1,6885.0,5100.0,0.7406999999999999,1785.0,0.23329999999999998,Medium,2014-04-01,4.0, April ,2014.0
Government,Mexico, Carretera , Medium ,521.0,3.0,7.0,3647.0,328.23,0.09,3318.77,2605.0,0.7848999999999999,713.77,0.1957,Medium,2014-12-01,12.0, December ,2014.0
Government,Mexico, VTT , Medium ,521.0,250.0,7.0,3647.0,328.23,0.09,3318.77,2605.0,0.7848999999999999,713.77,0.1957,Medium,2014-12-01,12.0, December ,2014.0
Government,Mexico, Velo , Low ,544.0,120.0,20.0,10880.0,217.6,0.02,10662.4,5440.0,0.5102,5222.4,0.48,High,2013-12-01,12.0, December ,2013.0
Government,France, Montana , Low ,544.0,5.0,7.0,3808.0,114.24,0.03,3693.76,2720.0,0.7364,973.76,0.2557,Medium,2014-09-01,9.0, September ,2014.0
Small Business,Mexico, Montana , High ,546.0,5.0,300.0,163800.0,24570.0,0.15,139230.0,136500.0,0.9804,2730.0,0.0167,Low,2014-10-01,10.0, October ,2014.0
Small Business,Mexico, Amarilla , High ,546.0,260.0,300.0,163800.0,24570.0,0.15,139230.0,136500.0,0.9804,2730.0,0.0167,Low,2014-10-01,10.0, October ,2014.0
Government,United States of America, Velo , Medium ,547.0,120.0,7.0,3829.0,268.03,0.07,3560.97,2735.0,0.768,825.97,0.2157,Medium,2014-11-01,11.0, November ,2014.0
Midmarket,France, Paseo ,None,549.0,10.0,15.0,8235.0,0.0,0.0,8235.0,5490.0,0.6667000000000001,2745.0,0.3333,Medium,2013-09-01,9.0, September ,2013.0
Government,Canada, Amarilla , Medium ,552.0,260.0,350.0,193200.0,9660.0,0.05,183540.0,143520.0,0.782,40020.0,0.2071,Medium,2014-08-01,8.0, August ,2014.0
Enterprise,Germany, VTT , High ,552.0,250.0,125.0,69000.0,10350.0,0.15,58650.0,66240.0,1.1294,-7590.0,-0.11,Low,2014-11-01,11.0, November ,2014.0
Enterprise,Mexico, VTT , High ,554.0,250.0,125.0,69250.0,7617.5,0.11,61632.5,66480.0,1.0787,-4847.5,-0.07,Low,2014-01-01,1.0, January ,2014.0
Midmarket,United States of America, Velo , Medium ,555.0,120.0,15.0,8325.0,416.25,0.05,7908.75,5550.0,0.7018000000000001,2358.75,0.2833,Medium,2014-01-01,1.0, January ,2014.0
Channel Partners,Mexico, Carretera , Medium ,562.0,3.0,12.0,6744.0,404.64,0.06,6339.36,1686.0,0.266,4653.36,0.69,High,2014-09-01,9.0, September ,2014.0
Enterprise,Canada, Velo , Medium ,567.0,120.0,125.0,70875.0,6378.75,0.09,64496.25,68040.0,1.0549,-3543.75,-0.05,Low,2014-09-01,9.0, September ,2014.0
Government,United States of America, Carretera , Medium ,570.0,3.0,7.0,3990.0,199.5,0.05,3790.5,2850.0,0.7519,940.5,0.2357,Medium,2014-12-01,12.0, December ,2014.0
Government,United States of America, VTT , Medium ,570.0,250.0,7.0,3990.0,199.5,0.05,3790.5,2850.0,0.7519,940.5,0.2357,Medium,2014-12-01,12.0, December ,2014.0
Channel Partners,Mexico, Paseo , High ,571.0,10.0,12.0,6852.0,890.76,0.13,5961.24,1713.0,0.2874,4248.24,0.62,High,2014-07-01,7.0, July ,2014.0
Government,France, VTT , Medium ,574.5,250.0,350.0,201075.0,16086.0,0.08,184989.0,149370.0,0.8075,35619.0,0.1771,Medium,2014-04-01,4.0, April ,2014.0
Enterprise,United States of America, Amarilla , High ,579.0,260.0,125.0,72375.0,7237.5,0.1,65137.5,69480.0,1.0667,-4342.5,-0.06,Low,2014-01-01,1.0, January ,2014.0
Government,Germany, Velo , Medium ,588.0,120.0,20.0,11760.0,823.2,0.07,10936.8,5880.0,0.5376,5056.8,0.43,High,2013-12-01,12.0, December ,2013.0
Small Business,Mexico, Paseo , High ,591.0,10.0,300.0,177300.0,17730.0,0.1,159570.0,147750.0,0.9259000000000001,11820.0,0.0667,Low,2014-05-01,5.0, May ,2014.0
Channel Partners,Canada, Velo , Medium ,598.0,120.0,12.0,7176.0,574.08,0.08,6601.92,1794.0,0.2717,4807.92,0.67,High,2014-03-01,3.0, March ,2014.0
Government,United States of America, Paseo , Medium ,602.0,10.0,350.0,210700.0,10535.0,0.05,200165.0,156520.0,0.782,43645.0,0.2071,Medium,2014-06-01,6.0, June ,2014.0
Government,United States of America, Velo , Medium ,602.0,120.0,350.0,210700.0,10535.0,0.05,200165.0,156520.0,0.782,43645.0,0.2071,Medium,2014-06-01,6.0, June ,2014.0
Channel Partners,Mexico, Montana , High ,604.0,5.0,12.0,7248.0,942.24,0.13,6305.76,1812.0,0.2874,4493.76,0.62,High,2014-06-01,6.0, June ,2014.0
Channel Partners,Mexico, Velo , High ,604.0,120.0,12.0,7248.0,942.24,0.13,6305.76,1812.0,0.2874,4493.76,0.62,High,2014-06-01,6.0, June ,2014.0
Government,United States of America, Velo , High ,606.0,120.0,20.0,12120.0,1696.8,0.14,10423.2,6060.0,0.5814,4363.2,0.36,Medium,2014-04-01,4.0, April ,2014.0
Government,Mexico, Velo , Medium ,609.0,120.0,20.0,12180.0,852.6,0.07,11327.4,6090.0,0.5376,5237.4,0.43,High,2014-08-01,8.0, August ,2014.0
Midmarket,United States of America, Montana ,None,615.0,5.0,15.0,9225.0,0.0,0.0,9225.0,6150.0,0.6667000000000001,3075.0,0.3333,Medium,2014-12-01,12.0, December ,2014.0
Midmarket,United States of America, Amarilla ,None,615.0,260.0,15.0,9225.0,0.0,0.0,9225.0,6150.0,0.6667000000000001,3075.0,0.3333,Medium,2014-12-01,12.0, December ,2014.0
Government,Canada, VTT , High ,623.0,250.0,350.0,218050.0,26166.0,0.12,191884.0,161980.0,0.8442000000000001,29904.0,0.1371,Low,2013-09-01,9.0, September ,2013.0
Small Business,Mexico, Velo , Medium ,635.0,120.0,300.0,190500.0,15240.0,0.08,175260.0,158750.0,0.9057999999999999,16510.0,0.0867,Low,2014-12-01,12.0, December ,2014.0
Small Business,Mexico, Amarilla , Medium ,635.0,260.0,300.0,190500.0,15240.0,0.08,175260.0,158750.0,0.9057999999999999,16510.0,0.0867,Low,2014-12-01,12.0, December ,2014.0
Government,France, Velo , High ,639.0,120.0,350.0,223650.0,22365.0,0.1,201285.0,166140.0,0.8254,35145.0,0.15710000000000002,Medium,2014-07-01,7.0, July ,2014.0
Government,France, Velo , Low ,639.0,120.0,7.0,4473.0,44.73,0.01,4428.27,3195.0,0.7215,1233.27,0.2757,Medium,2014-11-01,11.0, November ,2014.0
Midmarket,Mexico, VTT , High ,641.0,250.0,15.0,9615.0,961.5,0.1,8653.5,6410.0,0.7406999999999999,2243.5,0.23329999999999998,Medium,2014-07-01,7.0, July ,2014.0
Government,Germany, Montana , Medium ,645.0,5.0,20.0,12900.0,1032.0,0.08,11868.0,6450.0,0.5435,5418.0,0.42,High,2014-07-01,7.0, July ,2014.0
Midmarket,Mexico, Velo , High ,655.0,120.0,15.0,9825.0,1080.75,0.11,8744.25,6550.0,0.7491,2194.25,0.22329999999999997,Medium,2013-09-01,9.0, September ,2013.0
Midmarket,Germany, Velo , High ,660.0,120.0,15.0,9900.0,1287.0,0.13,8613.0,6600.0,0.7663,2013.0,0.20329999999999998,Medium,2013-09-01,9.0, September ,2013.0
Enterprise,Mexico, Paseo , Low ,662.0,10.0,125.0,82750.0,1655.0,0.02,81095.0,79440.0,0.9795999999999999,1655.0,0.02,Low,2014-06-01,6.0, June ,2014.0
Enterprise,Mexico, VTT , Low ,662.0,250.0,125.0,82750.0,1655.0,0.02,81095.0,79440.0,0.9795999999999999,1655.0,0.02,Low,2014-06-01,6.0, June ,2014.0
Government,Germany, Carretera , Medium ,663.0,3.0,20.0,13260.0,1193.4,0.09,12066.6,6630.0,0.5495,5436.6,0.41,High,2014-05-01,5.0, May ,2014.0
Enterprise,United States of America, Montana , Low ,663.0,5.0,125.0,82875.0,828.75,0.01,82046.25,79560.0,0.9697,2486.25,0.03,Low,2013-10-01,10.0, October ,2013.0
Enterprise,United States of America, Velo , Low ,663.0,120.0,125.0,82875.0,828.75,0.01,82046.25,79560.0,0.9697,2486.25,0.03,Low,2013-10-01,10.0, October ,2013.0
Enterprise,France, Velo , High ,663.0,120.0,125.0,82875.0,12431.25,0.15,70443.75,79560.0,1.1294,-9116.25,-0.11,Low,2014-09-01,9.0, September ,2014.0
Midmarket,United States of America, Paseo , Low ,671.0,10.0,15.0,10065.0,402.6,0.04,9662.4,6710.0,0.6944,2952.4,0.2933,Medium,2013-10-01,10.0, October ,2013.0
Midmarket,United States of America, Amarilla , Low ,671.0,260.0,15.0,10065.0,402.6,0.04,9662.4,6710.0,0.6944,2952.4,0.2933,Medium,2013-10-01,10.0, October ,2013.0
Midmarket,United States of America, Montana , High ,677.0,5.0,15.0,10155.0,1218.6,0.12,8936.4,6770.0,0.7576,2166.4,0.2133,Medium,2014-03-01,3.0, March ,2014.0
Government,United States of America, Paseo , Medium ,678.0,10.0,7.0,4746.0,379.68,0.08,4366.32,3390.0,0.7764,976.32,0.2057,Medium,2014-08-01,8.0, August ,2014.0
Midmarket,Germany, Velo , High ,681.0,120.0,15.0,10215.0,1021.5,0.1,9193.5,6810.0,0.7406999999999999,2383.5,0.23329999999999998,Medium,2014-01-01,1.0, January ,2014.0
Small Business,Germany, Carretera , Low ,689.0,3.0,300.0,206700.0,6201.0,0.03,200499.0,172250.0,0.8591,28249.0,0.1367,Low,2014-06-01,6.0, June ,2014.0
Small Business,Germany, Paseo , Low ,689.0,10.0,300.0,206700.0,6201.0,0.03,200499.0,172250.0,0.8591,28249.0,0.1367,Low,2014-06-01,6.0, June ,2014.0
Channel Partners,Mexico, Montana , Low ,690.0,5.0,12.0,8280.0,165.6,0.02,8114.4,2070.0,0.2551,6044.4,0.73,High,2014-11-01,11.0, November ,2014.0
Government,Canada, Paseo , High ,700.0,10.0,350.0,245000.0,34300.0,0.14,210700.0,182000.0,0.8637999999999999,28700.0,0.11710000000000001,Low,2014-11-01,11.0, November ,2014.0
Enterprise,France, Paseo , Medium ,704.0,10.0,125.0,88000.0,4400.0,0.05,83600.0,84480.0,1.0105,-880.0,-0.01,Low,2013-10-01,10.0, October ,2013.0
Enterprise,France, Velo , Medium ,704.0,120.0,125.0,88000.0,4400.0,0.05,83600.0,84480.0,1.0105,-880.0,-0.01,Low,2013-10-01,10.0, October ,2013.0
Government,Canada, Amarilla , High ,707.0,260.0,350.0,247450.0,24745.0,0.1,222705.0,183820.0,0.8254,38885.0,0.15710000000000002,Medium,2014-09-01,9.0, September ,2014.0
Government,Canada, Montana , Medium ,708.0,5.0,20.0,14160.0,1132.8,0.08,13027.2,7080.0,0.5435,5947.2,0.42,High,2014-06-01,6.0, June ,2014.0
Government,Canada, Amarilla , Medium ,708.0,260.0,20.0,14160.0,1132.8,0.08,13027.2,7080.0,0.5435,5947.2,0.42,High,2014-06-01,6.0, June ,2014.0
Midmarket,Germany, Montana , Medium ,711.0,5.0,15.0,10665.0,853.2,0.08,9811.8,7110.0,0.7245999999999999,2701.8,0.25329999999999997,Medium,2014-12-01,12.0, December ,2014.0
Midmarket,Germany, Amarilla , Medium ,711.0,260.0,15.0,10665.0,853.2,0.08,9811.8,7110.0,0.7245999999999999,2701.8,0.25329999999999997,Medium,2014-12-01,12.0, December ,2014.0
Government,Mexico, Montana , Medium ,720.0,5.0,350.0,252000.0,12600.0,0.05,239400.0,187200.0,0.782,52200.0,0.2071,Medium,2013-09-01,9.0, September ,2013.0
Government,Canada, Paseo , High ,723.0,10.0,7.0,5061.0,759.15,0.15,4301.85,3615.0,0.8403,686.85,0.13570000000000002,Low,2014-04-01,4.0, April ,2014.0
Government,United States of America, Paseo , Medium ,727.0,10.0,350.0,254450.0,15267.0,0.06,239183.0,189020.0,0.7903,50163.0,0.1971,Medium,2013-10-01,10.0, October ,2013.0
Government,United States of America, Amarilla , Medium ,727.0,260.0,350.0,254450.0,15267.0,0.06,239183.0,189020.0,0.7903,50163.0,0.1971,Medium,2013-10-01,10.0, October ,2013.0
Channel Partners,Mexico, Carretera , Medium ,727.0,3.0,12.0,8724.0,610.68,0.07,8113.32,2181.0,0.2688,5932.32,0.68,High,2014-02-01,2.0, February ,2014.0
Enterprise,United States of America, Paseo , Low ,727.0,10.0,125.0,90875.0,908.75,0.01,89966.25,87240.0,0.9697,2726.25,0.03,Low,2014-06-01,6.0, June ,2014.0
Enterprise,United States of America, VTT , Low ,727.0,250.0,125.0,90875.0,908.75,0.01,89966.25,87240.0,0.9697,2726.25,0.03,Low,2014-06-01,6.0, June ,2014.0
Government,United States of America, Velo , Low ,736.0,120.0,20.0,14720.0,588.8,0.04,14131.2,7360.0,0.5207999999999999,6771.2,0.46,High,2013-09-01,9.0, September ,2013.0
Enterprise,Canada, Carretera , Low ,742.5,3.0,125.0,92812.5,1856.25,0.02,90956.25,89100.0,0.9795999999999999,1856.25,0.02,Low,2014-04-01,4.0, April ,2014.0
Midmarket,Germany, Paseo , Low ,747.0,10.0,15.0,11205.0,112.05,0.01,11092.95,7470.0,0.6734,3622.95,0.3233,Medium,2014-09-01,9.0, September ,2014.0
Government,Germany, Montana , High ,766.0,5.0,350.0,268100.0,29491.0,0.11,238609.0,199160.0,0.8347,39449.0,0.1471,Low,2014-01-01,1.0, January ,2014.0
Channel Partners,Germany, Carretera , Low ,766.0,3.0,12.0,9192.0,91.92,0.01,9100.08,2298.0,0.2525,6802.08,0.74,High,2013-10-01,10.0, October ,2013.0
Channel Partners,Germany, Paseo , Low ,766.0,10.0,12.0,9192.0,91.92,0.01,9100.08,2298.0,0.2525,6802.08,0.74,High,2013-10-01,10.0, October ,2013.0
Enterprise,France, Paseo , Low ,787.0,10.0,125.0,98375.0,983.75,0.01,97391.25,94440.0,0.9697,2951.25,0.03,Low,2014-06-01,6.0, June ,2014.0
Enterprise,France, VTT , Low ,787.0,250.0,125.0,98375.0,983.75,0.01,97391.25,94440.0,0.9697,2951.25,0.03,Low,2014-06-01,6.0, June ,2014.0
Small Business,Mexico, Paseo ,None,788.0,10.0,300.0,236400.0,0.0,0.0,236400.0,197000.0,0.8332999999999999,39400.0,0.16670000000000001,Medium,2013-09-01,9.0, September ,2013.0
Midmarket,United States of America, Velo , High ,790.0,120.0,15.0,11850.0,1185.0,0.1,10665.0,7900.0,0.7406999999999999,2765.0,0.23329999999999998,Medium,2014-05-01,5.0, May ,2014.0
Government,Germany, Carretera , High ,792.0,3.0,350.0,277200.0,30492.0,0.11,246708.0,205920.0,0.8347,40788.0,0.1471,Low,2014-03-01,3.0, March ,2014.0
Enterprise,Germany, Paseo , Low ,795.0,10.0,125.0,99375.0,3975.0,0.04,95400.0,95400.0,1.0,0.0,0.0,Low,2014-03-01,3.0, March ,2014.0
